year,AI-assisted mushroom identification and computational classification,Amanita poisoning and amatoxin intoxication,Amatoxin-induced hepatotoxicity and liver failure,Clinical poisoning management and supportive care,"Epidemiology, outbreaks, and surveillance",Other mushroom-poisoning research themes,Poisonous mushroom identification and taxonomy,Renal and extrahepatic toxicity,Therapeutic strategies and antidotal interventions
2000,0.0,26.666666666666668,28.888888888888886,26.666666666666668,2.2222222222222223,15.555555555555555,0.0,0.0,0.0
2001,2.7027027027027026,21.62162162162162,32.432432432432435,5.405405405405405,0.0,27.027027027027028,0.0,5.405405405405405,5.405405405405405
2002,0.0,17.391304347826086,34.78260869565217,13.043478260869565,4.3478260869565215,17.391304347826086,2.1739130434782608,8.695652173913043,2.1739130434782608
2003,0.0,28.888888888888886,28.888888888888886,20.0,4.444444444444445,11.11111111111111,0.0,4.444444444444445,2.2222222222222223
2004,0.0,42.42424242424242,12.121212121212121,21.21212121212121,0.0,18.181818181818183,0.0,3.0303030303030303,3.0303030303030303
2005,0.0,24.489795918367346,20.408163265306122,10.204081632653061,2.0408163265306123,38.775510204081634,4.081632653061225,0.0,0.0
2006,0.0,29.03225806451613,27.419354838709676,9.67741935483871,0.0,24.193548387096776,0.0,6.451612903225806,3.225806451612903
2007,0.0,21.568627450980394,35.294117647058826,11.76470588235294,1.9607843137254901,21.568627450980394,1.9607843137254901,1.9607843137254901,3.9215686274509802
2008,0.0,36.0,24.0,10.0,2.0,20.0,2.0,4.0,2.0
2009,0.0,22.413793103448278,27.586206896551722,6.896551724137931,10.344827586206897,22.413793103448278,0.0,10.344827586206897,0.0
2010,0.0,32.25806451612903,27.419354838709676,8.064516129032258,1.6129032258064515,20.967741935483872,3.225806451612903,4.838709677419355,1.6129032258064515
2011,0.0,38.983050847457626,15.254237288135593,10.16949152542373,5.084745762711865,16.94915254237288,1.694915254237288,8.47457627118644,3.389830508474576
2012,0.0,26.47058823529412,19.11764705882353,13.23529411764706,2.941176470588235,23.52941176470588,2.941176470588235,8.823529411764707,2.941176470588235
2013,1.2987012987012987,19.480519480519483,19.480519480519483,15.584415584415584,6.493506493506493,31.16883116883117,1.2987012987012987,1.2987012987012987,3.896103896103896
2014,0.0,28.35820895522388,25.37313432835821,8.955223880597014,2.9850746268656714,31.343283582089555,1.4925373134328357,1.4925373134328357,0.0
2015,1.4705882352941175,42.64705882352941,16.176470588235293,5.88235294117647,0.0,25.0,1.4705882352941175,4.411764705882353,2.941176470588235
2016,0.0,25.0,14.705882352941178,14.705882352941178,2.941176470588235,30.88235294117647,4.411764705882353,4.411764705882353,2.941176470588235
2017,0.0,31.746031746031743,28.57142857142857,7.936507936507936,3.1746031746031744,23.809523809523807,3.1746031746031744,1.5873015873015872,0.0
2018,2.5316455696202533,25.31645569620253,21.518987341772153,8.860759493670885,8.860759493670885,29.11392405063291,2.5316455696202533,0.0,1.2658227848101267
2019,7.142857142857142,22.857142857142858,18.571428571428573,8.571428571428571,4.285714285714286,31.428571428571427,4.285714285714286,2.857142857142857,0.0
2020,2.197802197802198,35.16483516483517,16.483516483516482,7.6923076923076925,5.4945054945054945,19.78021978021978,12.087912087912088,1.098901098901099,0.0
2021,4.716981132075472,30.18867924528302,18.867924528301888,2.8301886792452833,7.547169811320755,21.69811320754717,13.20754716981132,0.9433962264150944,0.0
2022,10.483870967741936,19.35483870967742,14.516129032258066,7.258064516129033,8.870967741935484,27.419354838709676,8.870967741935484,1.6129032258064515,1.6129032258064515
2023,9.322033898305085,26.27118644067797,20.33898305084746,3.389830508474576,8.47457627118644,22.033898305084744,5.932203389830509,3.389830508474576,0.847457627118644
2024,8.695652173913043,26.08695652173913,15.942028985507244,4.3478260869565215,12.318840579710146,26.08695652173913,6.521739130434782,0.0,0.0
2025,11.194029850746269,19.402985074626866,18.65671641791045,6.7164179104477615,11.940298507462686,26.865671641791046,4.477611940298507,0.7462686567164178,0.0
